type,ingredients,alcohol_content,volume,awards,additional_info,product_introduction,pairing_food,brewery,address,website,contact_info,name
리큐르/기타주류,"정제수, 포도과육(국내산100%)증류원액, 정백당, 효소처리스테비아, 포도향(천연향료)",15%  ,375ml,,,"블링블링 노을별은 영덕 바다의 은하수를 담아낸 우주 술로, 포도의 향과 맛이 조화롭게 어우러져 달콤함을 선사합니다! 아름다운 비주얼을 가지고 있는 은하수를 담은 이 전통주는 오로라를 연상시키며, 15%의 알코올 도수와 다양한 블렌딩 옵션으로 다채로운 즐거움을 제공합니다!","파스타,피자,샐러드..",영덕주조,경북 영덕군 강구면 소월1길 16-10,https://smartstore.naver.com/yeongdeok,,블링블링 노을별
과실주,"국산 포 도효모, 설탕, 아황산나트륨, 수트랄로스, 자일리톨",12%  ,750ml,,,향긋한 포도의 향기가 나는 건강한 포도와 강원도 홍천의 맑은 공기와 깨끗한 환경이 만나 샤또나드리만의 너브내 스파클링 화이트가 만들어 집니다.,"한식.생선회,초밥..",샤또나드리,강원도 홍천군 서면 팔봉산로 811-28 . 샤또나드리 / 너브내와인 (우 : 25101),https://smartstore.naver.com/nwine,,너브내 화이트(dry) 와인
탁주,"정제수, 찹쌀, 효모, 정제효소",5%  ,700ml,,,"참쌀의 부드러운 단맛과 최적의 발효온도로 구현한 청량한 산미,저온 숙성을 통한 풍부한 과실향,상큼한 피니쉬가 조화롭습니다.",과일.,상주주조,경상북도 상주시 남성로 73-15 1층 (우 : 37196),https://smartstore.naver.com/nerdbrew,,너디펀치
탁주,"너디로제:정제수, 찹쌀, 체리, 효모, 정제효소",5.5%  ,700ml,,,"체리의 풍부함과,애플민트의 시원한 향이 만드는 환상의 하모니의 새콤달콤한 막걸리입니다.","체리빵,각종 디저트류,파스타.",상주주조,경상북도 상주시 남성로 73-15 1층 (우 : 37196),https://smartstore.naver.com/nerdbrew,,너디로제
증류주,"정제수, 쌀(국내산), 입국, 효모",43%  ,375ml,,,감압식 소주와 비교하여 상압식 소주는 향이 다채롭고 화려하다는 특징이 있습니다.하지만 자칫 탄내취나 누룩취가 과하게 두드러질 수 있다는 단점이 있습니다.,,다농바이오,충청북도 충주,https://smartstore.naver.com/danongbio,,가무치 43%
탁주,"물,쌀(국내산),고과당,국(밀),합성향료(호두향,두유향,커피땅콩향),땅콩(국내산),효모,젖산(산도조절제), 효소처리스테비아 (밀,땅콩함유)",6%  ,750ml,,,"호땅은 국내산 쌀로만 빚어냅니다. 또, 일반 막걸리와는 다르게 쌀을 찌지 않고, 생 쌀을 갈아서 만드는 생쌀발효법으로 제조합니다. 이렇게 제조함으로써 입안에서의 질감이 훨씬 부드럽고, 목넘김이 가벼운 것이 특징입니다. 고소한 맛을 재현하고자, 땅콩에 호두 향을 더해 담백하고, 풍미 가득하며, 부드러운 맛을 느끼실수 있습니다.","족발,회,닭볶은탕...",배혜정도가,경기도 화성시 정남면 서봉로 835,http://www.baedoga.co.kr/,,호땅
증류주,쌀소주원액(쌀(국내산),40%  ,700ml,,,국내산 햅쌀과 특허받은 누룩을 정성을 담아 끓여 증류하고 오크통에 숙성한 진짜 소주입니다. 배도가 로아 포르토는 국내 최초 포르투 포도주 오크통을 사용해 숙성한 지금까지 볼 수 없었던 프리미엄 한국 증류식 소주입니다.,견과류.,배혜정도가,경기도 화성시 정남면 서봉로 835,http://www.baedoga.co.kr/,,로아 포르토
증류주,"쌀소주원액(쌀(국내산), 국, 효모, 젖산, 물), 물",25%  ,375ml,,,감미료를 전혀 넣지 않고 오직 쌀과 누룩으로만 빚은 한국 전통 증류식 소주입니다.,파스타.회/육회 등 ..,배혜정도가,경기도 화성시 정남면 서봉로 835,http://www.baedoga.co.kr/,,우곡소주
탁주,"정제수,찹쌀(국산).27.4%,곡자(밀)",9%  ,935ml,,,참쌀에서 배어나온 단맛이 기분 좋게 혀를 감돕니다.영양가 높은 찹쌀의 찰기는 더욱 깊고 진한 맛을 선사합니다.,"고소한 전 ,튀김류,해산물요리.",복순도가,울산광역시 울주군 상북면 향산리 439,http://www.boksoon.com/,,복순도가 찹쌀탁주 9도
탁주,"정제수,쌀(국내산),누룩,효소제,효모",10%  ,750ml,,,고집스러운 전통방식을 통해 귀하게 만들어진 집중도 높은 전통주입니다.,,기억브루어리,경기도 김포시 하성면 누산봉성로237번길 163 3동 (우 : 10013),https://smartstore.naver.com/mapcykorea,,맵시 막걸리 블랙라벨
