DrinkName,ModifiedDate,DrinkID,Alcoholic,Category,ImageUrlPath,Glass,IBA,Instruction,Ingredients,Measures
'57 Chevy with a White License Plate,2016-07-18 22:49:04,14029,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,Highball glass,,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,"[['Creme de Cacao', 1], ['Vodka', 2]]","[['1 oz white ', 1], ['1 oz ', 2]]"
1-900-FUK-MEUP,2016-07-18 22:27:04,15395,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,Old-fashioned glass,,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,"[['Absolut Kurant', 1], ['Grand Marnier', 2], ['Chambord raspberry liqueur', 3], ['Midori melon liqueur', 4], ['Malibu rum', 5], ['Amaretto', 6], ['Cranberry juice', 7], ['Pineapple juice', 8]]","[['1/2 oz ', 1], ['1/4 oz ', 2], ['1/4 oz ', 3], ['1/4 oz ', 4], ['1/4 oz ', 5], ['1/4 oz ', 6], ['1/2 oz ', 7], ['1/4 oz ', 8]]"
110 in the shade,2016-02-03 14:51:57,15423,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,Beer Glass,,Drop shooter in glass. Fill with beer,"[['Lager', 1], ['Tequila', 2]]","[['16 oz ', 1], ['1.5 oz ', 2]]"
151 Florida Bushwacker,2016-07-18 22:28:43,14588,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,Beer mug,,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,"[['Malibu rum', 1], ['Light rum', 2], ['151 proof rum', 3], ['Dark Creme de Cacao', 4], ['Cointreau', 5], ['Milk', 6], ['Coconut liqueur', 7], ['Vanilla ice-cream', 8]]","[['1/2 oz ', 1], ['1/2 oz ', 2], ['1/2 oz Bacardi ', 3], ['1 oz ', 4], ['1 oz ', 5], ['3 oz ', 6], ['1 oz ', 7], ['1 cup ', 8]]"
155 Belmont,2016-10-05 12:36:28,15346,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,White wine glass,,Blend with ice. Serve in a wine glass. Garnish with carrot.,"[['Dark rum', 1], ['Light rum', 2], ['Vodka', 3], ['Orange juice', 4]]","[['1 shot ', 1], ['2 shots ', 2], ['1 shot ', 3], ['1 shot ', 4]]"
24k nightmare,2016-07-18 22:31:38,17060,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,Shot glass,,"Add over ice,shake and pour.","[['Goldschlager', 1], ['Jägermeister', 2], ['Rumple Minze', 3], ['151 proof rum', 4]]","[['1/2 oz ', 1], ['1/2 oz ', 2], ['1/2 oz ', 3], ['1/2 oz Bacardi ', 4]]"
252,2016-07-18 22:32:42,15288,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,Shot glass,,"Add both ingredients to shot glass, shoot, and get drunk quick","[['151 proof rum', 1], ['Wild Turkey', 2]]","[['1/2 shot Bacardi ', 1], ['1/2 shot ', 2]]"
3 Wise Men,2016-07-18 22:34:37,13899,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,Collins glass,,put them them in a glass... and slam it to tha head.,"[['Jack Daniels', 1], ['Johnnie Walker', 2], ['Jim Beam', 3]]","[['1/3 oz ', 1], ['1/3 oz ', 2], ['1/3 oz ', 3]]"
3-Mile Long Island Iced Tea,2016-08-31 19:42:52,15300,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,Collins Glass,,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,"[['Gin', 1], ['Light rum', 2], ['Tequila', 3], ['Triple sec', 4], ['Vodka', 5], ['Coca-Cola', 6], ['Sweet and sour', 7], ['Bitters', 8], ['Lemon', 9]]","[['1/2 oz ', 1], ['1/2 oz ', 2], ['1/2 oz ', 3], ['1/2 oz ', 4], ['1/2 oz ', 5], ['1-2 dash ', 7], ['1 wedge ', 8]]"
410 Gone,2016-08-31 19:43:46,13581,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg,Collins Glass,,,"[['Peach Vodka', 1], ['Coca-Cola', 2]]","[['2-3 oz', 1]]"
